,season,task_episode,task_description,task_contestant,task_score
191,Series 10,Episode 8: Moments of silence. (3 December 2020),Prize: Best thing with wings.,Johnny Vegas,1
192,Series 10,Episode 8: Moments of silence. (3 December 2020),Prize: Best thing with wings.,Katherine Parkinson,3
193,Series 10,Episode 8: Moments of silence. (3 December 2020),Prize: Best thing with wings.,Mawaan Rizwan,4
194,Series 10,Episode 8: Moments of silence. (3 December 2020),Prize: Best thing with wings.,Richard Herring,5
195,Series 10,Episode 8: Moments of silence. (3 December 2020),Fill this cup until it overflows. The cup must remain atop the pole. Only liquids may touch the red green.,Daisy May Cooper,0
196,Series 10,Episode 8: Moments of silence. (3 December 2020),Fill this cup until it overflows. The cup must remain atop the pole. Only liquids may touch the red green.,Johnny Vegas,0
197,Series 10,Episode 8: Moments of silence. (3 December 2020),Fill this cup until it overflows. The cup must remain atop the pole. Only liquids may touch the red green.,Katherine Parkinson,0
198,Series 10,Episode 8: Moments of silence. (3 December 2020),Fill this cup until it overflows. The cup must remain atop the pole. Only liquids may touch the red green.,Mawaan Rizwan,0
199,Series 10,Episode 8: Moments of silence. (3 December 2020),Fill this cup until it overflows. The cup must remain atop the pole. Only liquids may touch the red green.,Richard Herring,0
200,Series 10,Episode 8: Moments of silence. (3 December 2020),Learn your lines and perform the scene. You have one take.,Daisy May Cooper,3
201,Series 10,Episode 8: Moments of silence. (3 December 2020),Learn your lines and perform the scene. You have one take.,Johnny Vegas,4
202,Series 10,Episode 8: Moments of silence. (3 December 2020),Learn your lines and perform the scene. You have one take.,Katherine Parkinson,2
203,Series 10,Episode 8: Moments of silence. (3 December 2020),Learn your lines and perform the scene. You have one take.,Mawaan Rizwan,2
204,Series 10,Episode 8: Moments of silence. (3 December 2020),Learn your lines and perform the scene. You have one take.,Richard Herring,5
205,Series 10,Episode 8: Moments of silence. (3 December 2020),"Drink one full tablespoon of coconut water. If you use the same coconut water extraction method as another contestant, you will be disqualified.",Daisy May Cooper,0
206,Series 10,Episode 8: Moments of silence. (3 December 2020),"Drink one full tablespoon of coconut water. If you use the same coconut water extraction method as another contestant, you will be disqualified.",Johnny Vegas,3
207,Series 10,Episode 8: Moments of silence. (3 December 2020),"Drink one full tablespoon of coconut water. If you use the same coconut water extraction method as another contestant, you will be disqualified.",Katherine Parkinson,5
208,Series 10,Episode 8: Moments of silence. (3 December 2020),"Drink one full tablespoon of coconut water. If you use the same coconut water extraction method as another contestant, you will be disqualified.",Mawaan Rizwan,0
209,Series 10,Episode 8: Moments of silence. (3 December 2020),"Drink one full tablespoon of coconut water. If you use the same coconut water extraction method as another contestant, you will be disqualified.",Richard Herring,4
210,Series 10,Episode 8: Moments of silence. (3 December 2020),Team Live: Stare at your opponent without blinking. You must maintain the expression that the Taskmaster chooses.,Daisy May Cooper,2
211,Series 10,Episode 8: Moments of silence. (3 December 2020),Team Live: Stare at your opponent without blinking. You must maintain the expression that the Taskmaster chooses.,Johnny Vegas,4
212,Series 10,Episode 8: Moments of silence. (3 December 2020),Team Live: Stare at your opponent without blinking. You must maintain the expression that the Taskmaster chooses.,Katherine Parkinson,2
213,Series 10,Episode 8: Moments of silence. (3 December 2020),Team Live: Stare at your opponent without blinking. You must maintain the expression that the Taskmaster chooses.,Mawaan Rizwan,4
214,Series 10,Episode 8: Moments of silence. (3 December 2020),Team Live: Stare at your opponent without blinking. You must maintain the expression that the Taskmaster chooses.,Richard Herring,4
215,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Prize: Best bedding.,Daisy May Cooper,3
216,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Prize: Best bedding.,Johnny Vegas,2
217,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Prize: Best bedding.,Katherine Parkinson,2
218,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Prize: Best bedding.,Mawaan Rizwan,4
219,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Prize: Best bedding.,Richard Herring,5
220,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Make the biggest beermat house on this table. While building your house, you must ring the doorbell after exactly one minute, then again after 58 seconds, then another 56 seconds and so on. If you make more than two mistakes with the doorbell timing, you will be disqualified. Your time ends when you ring the doorbell for the last time.",Daisy May Cooper,4
221,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Make the biggest beermat house on this table. While building your house, you must ring the doorbell after exactly one minute, then again after 58 seconds, then another 56 seconds and so on. If you make more than two mistakes with the doorbell timing, you will be disqualified. Your time ends when you ring the doorbell for the last time.",Johnny Vegas,0
222,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Make the biggest beermat house on this table. While building your house, you must ring the doorbell after exactly one minute, then again after 58 seconds, then another 56 seconds and so on. If you make more than two mistakes with the doorbell timing, you will be disqualified. Your time ends when you ring the doorbell for the last time.",Katherine Parkinson,0
223,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Make the biggest beermat house on this table. While building your house, you must ring the doorbell after exactly one minute, then again after 58 seconds, then another 56 seconds and so on. If you make more than two mistakes with the doorbell timing, you will be disqualified. Your time ends when you ring the doorbell for the last time.",Mawaan Rizwan,5
224,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Make the biggest beermat house on this table. While building your house, you must ring the doorbell after exactly one minute, then again after 58 seconds, then another 56 seconds and so on. If you make more than two mistakes with the doorbell timing, you will be disqualified. Your time ends when you ring the doorbell for the last time.",Richard Herring,3
225,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Complete the most tasks shown behind these doors. You must tell Alex which door to open within one minute of the previous door closing and you must tell Alex which door to open within one minute from now. You may only move when the doors are moving, and you must stay behind the line.",Daisy May Cooper,5
226,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Complete the most tasks shown behind these doors. You must tell Alex which door to open within one minute of the previous door closing and you must tell Alex which door to open within one minute from now. You may only move when the doors are moving, and you must stay behind the line.",Johnny Vegas,3
227,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Complete the most tasks shown behind these doors. You must tell Alex which door to open within one minute of the previous door closing and you must tell Alex which door to open within one minute from now. You may only move when the doors are moving, and you must stay behind the line.",Katherine Parkinson,1
228,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Complete the most tasks shown behind these doors. You must tell Alex which door to open within one minute of the previous door closing and you must tell Alex which door to open within one minute from now. You may only move when the doors are moving, and you must stay behind the line.",Mawaan Rizwan,2
229,Series 10,Episode 9: Air Horn Andy. (10 December 2020),"Complete the most tasks shown behind these doors. You must tell Alex which door to open within one minute of the previous door closing and you must tell Alex which door to open within one minute from now. You may only move when the doors are moving, and you must stay behind the line.",Richard Herring,4
230,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Work out how many balls are in the basket. All the balls must be in the basket when you make your guess.,Daisy May Cooper,5
231,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Work out how many balls are in the basket. All the balls must be in the basket when you make your guess.,Johnny Vegas,0
232,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Work out how many balls are in the basket. All the balls must be in the basket when you make your guess.,Katherine Parkinson,0
233,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Work out how many balls are in the basket. All the balls must be in the basket when you make your guess.,Mawaan Rizwan,3
234,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Work out how many balls are in the basket. All the balls must be in the basket when you make your guess.,Richard Herring,4
235,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Live: Draw the monster the Taskmaster is going to describe.,Daisy May Cooper,3
236,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Live: Draw the monster the Taskmaster is going to describe.,Johnny Vegas,4
237,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Live: Draw the monster the Taskmaster is going to describe.,Katherine Parkinson,3
238,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Live: Draw the monster the Taskmaster is going to describe.,Mawaan Rizwan,4
239,Series 10,Episode 9: Air Horn Andy. (10 December 2020),Live: Draw the monster the Taskmaster is going to describe.,Richard Herring,5
240,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Prize: Greatest collection.,Daisy May Cooper,4
241,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Prize: Greatest collection.,Johnny Vegas,3
242,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Prize: Greatest collection.,Katherine Parkinson,2
243,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Prize: Greatest collection.,Mawaan Rizwan,5
244,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Prize: Greatest collection.,Richard Herring,1
245,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Put these wellies on the spider's feet. You must carry a welly at all times, but you must never carry more than three wellies at once. You may not cut, untie or snap the twine.",Daisy May Cooper,5
246,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Put these wellies on the spider's feet. You must carry a welly at all times, but you must never carry more than three wellies at once. You may not cut, untie or snap the twine.",Johnny Vegas,0
247,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Put these wellies on the spider's feet. You must carry a welly at all times, but you must never carry more than three wellies at once. You may not cut, untie or snap the twine.",Katherine Parkinson,1
248,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Put these wellies on the spider's feet. You must carry a welly at all times, but you must never carry more than three wellies at once. You may not cut, untie or snap the twine.",Mawaan Rizwan,4
249,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Put these wellies on the spider's feet. You must carry a welly at all times, but you must never carry more than three wellies at once. You may not cut, untie or snap the twine.",Richard Herring,3
250,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Team: Perform this song the best.,Daisy May Cooper,5
251,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Team: Perform this song the best.,Johnny Vegas,2
252,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Team: Perform this song the best.,Katherine Parkinson,2
253,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Team: Perform this song the best.,Mawaan Rizwan,2
254,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Team: Perform this song the best.,Richard Herring,5
255,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Neatly hang all of Bernard Mannequin's clothes on the clothes rail. You may not step over the line.,Daisy May Cooper,1
256,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Neatly hang all of Bernard Mannequin's clothes on the clothes rail. You may not step over the line.,Johnny Vegas,4
257,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Neatly hang all of Bernard Mannequin's clothes on the clothes rail. You may not step over the line.,Katherine Parkinson,5
258,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Neatly hang all of Bernard Mannequin's clothes on the clothes rail. You may not step over the line.,Mawaan Rizwan,2
259,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Neatly hang all of Bernard Mannequin's clothes on the clothes rail. You may not step over the line.,Richard Herring,3
260,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Live: Wearing mittens at all times, balance either all the mints or biscuits on a spaghetti bridge. The mints or biscuits must only touch spaghetti, and the spaghetti must be balanced on the coconuts. The coconuts must remain on their stands.",Daisy May Cooper,0
261,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Live: Wearing mittens at all times, balance either all the mints or biscuits on a spaghetti bridge. The mints or biscuits must only touch spaghetti, and the spaghetti must be balanced on the coconuts. The coconuts must remain on their stands.",Johnny Vegas,0
262,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Live: Wearing mittens at all times, balance either all the mints or biscuits on a spaghetti bridge. The mints or biscuits must only touch spaghetti, and the spaghetti must be balanced on the coconuts. The coconuts must remain on their stands.",Katherine Parkinson,0
263,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Live: Wearing mittens at all times, balance either all the mints or biscuits on a spaghetti bridge. The mints or biscuits must only touch spaghetti, and the spaghetti must be balanced on the coconuts. The coconuts must remain on their stands.",Mawaan Rizwan,4
264,Series 10,Episode 10: Dog meat trifle. (17 December 2020),"Live: Wearing mittens at all times, balance either all the mints or biscuits on a spaghetti bridge. The mints or biscuits must only touch spaghetti, and the spaghetti must be balanced on the coconuts. The coconuts must remain on their stands.",Richard Herring,5
265,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Guess how many green eggs are under the Taskmaster's chair.,Daisy May Cooper,0
266,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Guess how many green eggs are under the Taskmaster's chair.,Johnny Vegas,0
267,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Guess how many green eggs are under the Taskmaster's chair.,Katherine Parkinson,0
268,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Guess how many green eggs are under the Taskmaster's chair.,Mawaan Rizwan,0
269,Series 10,Episode 10: Dog meat trifle. (17 December 2020),Guess how many green eggs are under the Taskmaster's chair.,Richard Herring,1
