,season,task_episode,task_description,task_contestant,task_score
100,Series 6,Episode 4: BMXing! (23 May 2018),Make the best art using an entire squirty cream can in 20 minutes.,Alice Levine,4
101,Series 6,Episode 4: BMXing! (23 May 2018),Make the best art using an entire squirty cream can in 20 minutes.,Asim Chaudhry,1
102,Series 6,Episode 4: BMXing! (23 May 2018),Make the best art using an entire squirty cream can in 20 minutes.,Liza Tarbuck,5
103,Series 6,Episode 4: BMXing! (23 May 2018),Make the best art using an entire squirty cream can in 20 minutes.,Russell Howard,3
104,Series 6,Episode 4: BMXing! (23 May 2018),Make the best art using an entire squirty cream can in 20 minutes.,Tim Vine,2
105,Series 6,Episode 4: BMXing! (23 May 2018),Remove the £5 note from under the pint without spilling any of the pint or touching the pint glass.,Alice Levine,0
106,Series 6,Episode 4: BMXing! (23 May 2018),Remove the £5 note from under the pint without spilling any of the pint or touching the pint glass.,Asim Chaudhry,4
107,Series 6,Episode 4: BMXing! (23 May 2018),Remove the £5 note from under the pint without spilling any of the pint or touching the pint glass.,Liza Tarbuck,0
108,Series 6,Episode 4: BMXing! (23 May 2018),Remove the £5 note from under the pint without spilling any of the pint or touching the pint glass.,Russell Howard,5
109,Series 6,Episode 4: BMXing! (23 May 2018),Remove the £5 note from under the pint without spilling any of the pint or touching the pint glass.,Tim Vine,3
110,Series 6,Episode 4: BMXing! (23 May 2018),"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identity.",Alice Levine,5
111,Series 6,Episode 4: BMXing! (23 May 2018),"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identity.",Asim Chaudhry,0
112,Series 6,Episode 4: BMXing! (23 May 2018),"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identity.",Liza Tarbuck,0
113,Series 6,Episode 4: BMXing! (23 May 2018),"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identity.",Russell Howard,0
114,Series 6,Episode 4: BMXing! (23 May 2018),"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identity.",Tim Vine,0
115,Series 6,Episode 5: H. (30 May 2018),Prize: Sturdiest thing.,Alice Levine,4
116,Series 6,Episode 5: H. (30 May 2018),Prize: Sturdiest thing.,Asim Chaudhry,1
117,Series 6,Episode 5: H. (30 May 2018),Prize: Sturdiest thing.,Liza Tarbuck,5
118,Series 6,Episode 5: H. (30 May 2018),Prize: Sturdiest thing.,Russell Howard,3
119,Series 6,Episode 5: H. (30 May 2018),Prize: Sturdiest thing.,Tim Vine,2
120,Series 6,Episode 5: H. (30 May 2018),"Without leaving the caravan, work out how long the piece of string is.",Alice Levine,2
121,Series 6,Episode 5: H. (30 May 2018),"Without leaving the caravan, work out how long the piece of string is.",Asim Chaudhry,4
122,Series 6,Episode 5: H. (30 May 2018),"Without leaving the caravan, work out how long the piece of string is.",Liza Tarbuck,1
123,Series 6,Episode 5: H. (30 May 2018),"Without leaving the caravan, work out how long the piece of string is.",Russell Howard,3
124,Series 6,Episode 5: H. (30 May 2018),"Without leaving the caravan, work out how long the piece of string is.",Tim Vine,5
125,Series 6,Episode 5: H. (30 May 2018),Pull the tablecloth off the table. Most eggs left unbroken on the table wins.,Alice Levine,5
